title,genre,background,combined
Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen", This is a fourth season of Gintama. In the episode continuity corresponds to episodes 266-316 of Gintama. ,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen  This is a fourth season of Gintama. In the episode continuity corresponds to episodes 266-316 of Gintama. "
Digimon Adventure 3D: Digimon Grand Prix!,"Action, Adventure, Comedy, Fantasy, Kids, Parody, Sports","Digimon Adventure 3D: Digimon Grand Prix! was screened at Sanrio Puroland&#039;s Yume no Time Machine attraction between July 20, 2000, and June 23, 2002. It was later screened at Tobidasu! 3D Toei Anime Matsuri on October 3, 2009.","Action, Adventure, Comedy, Fantasy, Kids, Parody, Sports Digimon Adventure 3D: Digimon Grand Prix! was screened at Sanrio Puroland&#039;s Yume no Time Machine attraction between July 20, 2000, and June 23, 2002. It was later screened at Tobidasu! 3D Toei Anime Matsuri on October 3, 2009."
Tenbatsu Angel Rabbie☆,"Magic, Comedy, Sci-Fi","Characters are based on the Visual Novel, Angelic Serenade.","Magic, Comedy, Sci-Fi Characters are based on the Visual Novel, Angelic Serenade."
Kurenai no Buta,"Action, Adventure, Comedy, Drama, Historical, Military, Romance",The film won the 1992 Mainichi Film Award for animation.,"Action, Adventure, Comedy, Drama, Historical, Military, Romance The film won the 1992 Mainichi Film Award for animation."
Samurai Flamenco,"Action, Comedy, Parody, Super Power",Samurai Flamenco first aired on the noitaminA programming block which was then simulcast by Crunchyroll.A mobile phone game adaptation is also available for both iPhone and Android.,"Action, Comedy, Parody, Super Power Samurai Flamenco first aired on the noitaminA programming block which was then simulcast by Crunchyroll.A mobile phone game adaptation is also available for both iPhone and Android."
Brothers Conflict,"Harem, Romance, Shoujo",Idea Factory released two games based on the franchise for the Sony PlayStation Portable. A compilation of short stories that were first featured in Dengeki Girl&rsquo;s Style and Sylph was also released.,"Harem, Romance, Shoujo Idea Factory released two games based on the franchise for the Sony PlayStation Portable. A compilation of short stories that were first featured in Dengeki Girl&rsquo;s Style and Sylph was also released."
Magi: Sinbad no Bouken (TV),"Action, Adventure, Fantasy, Magic, Shounen",Episodes 2 through 6 of the television series are renamed versions of the OVAs. Episodes 1 and 7 through 13 will be new animation not featured in the previous OVAs. ,"Action, Adventure, Fantasy, Magic, Shounen Episodes 2 through 6 of the television series are renamed versions of the OVAs. Episodes 1 and 7 through 13 will be new animation not featured in the previous OVAs. "
Mononoke,"Mystery, Historical, Horror, Demons, Psychological, Supernatural, Fantasy, Seinen","The main protagonist of the series, Kusuriuri, was first introduced in ""Bakeneko,"" the final chapter of the Ayakashi: Japanese Classic Horror anthology series. Mononoke was originally broadcast during the NoitaminA programming block in Japan.","Mystery, Historical, Horror, Demons, Psychological, Supernatural, Fantasy, Seinen The main protagonist of the series, Kusuriuri, was first introduced in ""Bakeneko,"" the final chapter of the Ayakashi: Japanese Classic Horror anthology series. Mononoke was originally broadcast during the NoitaminA programming block in Japan."
Tonari no Seki-kun,"Comedy, School, Seinen","The first 13 episodes of Tonari no Seki-kun aired on TV (TV Tokyo), but the final 7 episodes were streamed online on http://t-sekikun.jp/onair/ on April 7. Starting May 2 and over the course of 7 weeks, the same 7 episodes aired on TV (AT-X).The series adapts content from the first 3 volumes of Takuma Morishige&#039;s manga series of the same title.","Comedy, School, Seinen The first 13 episodes of Tonari no Seki-kun aired on TV (TV Tokyo), but the final 7 episodes were streamed online on http://t-sekikun.jp/onair/ on April 7. Starting May 2 and over the course of 7 weeks, the same 7 episodes aired on TV (AT-X).The series adapts content from the first 3 volumes of Takuma Morishige&#039;s manga series of the same title."
Mitsubachi Maya no Bouken,"Adventure, Comedy, Kids","The series was based on the German children&rsquo;s book Maya the Bee, originally published in 1912. Mitsubachi Maya no Bouken was notably in English twice, once for British with British voice actors and again for the United States with Canadian voice actors.","Adventure, Comedy, Kids The series was based on the German children&rsquo;s book Maya the Bee, originally published in 1912. Mitsubachi Maya no Bouken was notably in English twice, once for British with British voice actors and again for the United States with Canadian voice actors."
Serial Experiments Lain,"Dementia, Drama, Mystery, Psychological, Sci-Fi, Supernatural",Serial Experiments Lain won the Excellence Prize in the 1998 Japan Media Arts Festival. It has been subject to commentary in the literary and academic worlds such as the Asian Horror Encyclopedia and The Problem of Existence in Japanese Animation by the American Philosophical Society.,"Dementia, Drama, Mystery, Psychological, Sci-Fi, Supernatural Serial Experiments Lain won the Excellence Prize in the 1998 Japan Media Arts Festival. It has been subject to commentary in the literary and academic worlds such as the Asian Horror Encyclopedia and The Problem of Existence in Japanese Animation by the American Philosophical Society."
Kill la Kill,"Action, Comedy, Super Power, Ecchi, School","Episode 1 was previewed at a screening in Tokyo on September 28, 2013. Regular broadcasting began on October 4, 2013.Kill La Kill&rsquo;s Toshio Ishizaki won the Tokyo Anime Award for Best Character Design in 2014. The series got another Character Design Award along with a Storyboard Award, Soundtrack Award, Theme Song Award (for Sirius), Mascot Awards (for Senketsu and Guts), Female Character Awards (for Ryuuko Matoi and Mako Mankanshoku), and Series Award for TV Broadcast in the 2014 Newtype Anime Awards.","Action, Comedy, Super Power, Ecchi, School Episode 1 was previewed at a screening in Tokyo on September 28, 2013. Regular broadcasting began on October 4, 2013.Kill La Kill&rsquo;s Toshio Ishizaki won the Tokyo Anime Award for Best Character Design in 2014. The series got another Character Design Award along with a Storyboard Award, Soundtrack Award, Theme Song Award (for Sirius), Mascot Awards (for Senketsu and Guts), Female Character Awards (for Ryuuko Matoi and Mako Mankanshoku), and Series Award for TV Broadcast in the 2014 Newtype Anime Awards."
Key the Metal Idol,"Action, Sci-Fi, Music, Drama, Mecha",Key the Metal Idol won the Packaged Work Award at the 1996 Animation Kobe Awards.,"Action, Sci-Fi, Music, Drama, Mecha Key the Metal Idol won the Packaged Work Award at the 1996 Animation Kobe Awards."
Evangelion: 2.0 You Can (Not) Advance,"Action, Sci-Fi, Mecha","Evangelion: 2.0 You Can (Not) Advance won first place in the animation category of the French Lyon Asian Film Festival, narrowly beating Symphony in August in an audience vote. It also won the Award of Excellence in the animation category at the 33rd Japan Academy Awards and, consequently, nominated for Animation of the Year at the same event in 2010.","Action, Sci-Fi, Mecha Evangelion: 2.0 You Can (Not) Advance won first place in the animation category of the French Lyon Asian Film Festival, narrowly beating Symphony in August in an audience vote. It also won the Award of Excellence in the animation category at the 33rd Japan Academy Awards and, consequently, nominated for Animation of the Year at the same event in 2010."
Gakuen Handsome: Haitoku no Lesson,"Comedy, Music",The music videos were bundled with Teruhiko Saionji&#039;s character CD. Short versions of them were uploaded to the series&#039; offical YouTube account.,"Comedy, Music The music videos were bundled with Teruhiko Saionji&#039;s character CD. Short versions of them were uploaded to the series&#039; offical YouTube account."
Resort Boin,Hentai,Resort Boin is an adaptation of a visual novel of the same title developed by Crossnet-Pie.,Hentai Resort Boin is an adaptation of a visual novel of the same title developed by Crossnet-Pie.
Nagi no Asukara,"Drama, Fantasy, Romance","Episode 1 was previewed at a screening in Tokyo on September 27, 2013. Regular broadcasting began on October 3, 2013.","Drama, Fantasy, Romance Episode 1 was previewed at a screening in Tokyo on September 27, 2013. Regular broadcasting began on October 3, 2013."
Shisha no Teikoku,"Sci-Fi, Historical, Psychological","Winner of the Platinum Grand Prize during the 2016 Future Film Festival, held in Italy.","Sci-Fi, Historical, Psychological Winner of the Platinum Grand Prize during the 2016 Future Film Festival, held in Italy."
Final Fantasy VII: Advent Children,"Action, Super Power, Fantasy","The film received the Honorary Maria Award at the Sitges Film Festival on October 15, 2005. The film was also awarded the Best Anime Feature at the 2007 American Anime Awards.","Action, Super Power, Fantasy The film received the Honorary Maria Award at the Sitges Film Festival on October 15, 2005. The film was also awarded the Best Anime Feature at the 2007 American Anime Awards."
Rokudenashi Majutsu Koushi to Akashic Records,"Action, Magic, Fantasy, School",Rokudenashi Majutsu Koushi to Akashic Records adapts the first 5 volumes of Tarou Hitsuji&#039;s light novel series of the same title.,"Action, Magic, Fantasy, School Rokudenashi Majutsu Koushi to Akashic Records adapts the first 5 volumes of Tarou Hitsuji&#039;s light novel series of the same title."
Ibara-Hime matawa Nemuri-Hime,"Historical, Drama",Winner of the 1990 Oofuji Noburou Award at the Mainichi Film Awards.,"Historical, Drama Winner of the 1990 Oofuji Noburou Award at the Mainichi Film Awards."
"Neko mo, Onda-ke","Slice of Life, Comedy","Neko mo, Onda-ke airs in the Tsunagaru Wide Hounan variety program, which lasts from 15:50 to 17:54 on Fridays.","Slice of Life, Comedy Neko mo, Onda-ke airs in the Tsunagaru Wide Hounan variety program, which lasts from 15:50 to 17:54 on Fridays."
Gakuen Handsome: Legend of Sexy,"Comedy, Music","The music videos were bundled with the ""Legend of Sexy"" character CD. Short versions were previewed on YouTube.","Comedy, Music The music videos were bundled with the ""Legend of Sexy"" character CD. Short versions were previewed on YouTube."
Kyoukai no Kanata,"Slice of Life, Supernatural, Fantasy","Kyoukai no Kanata covers the storyline of the first two volumes of the light novel adaptation. It has been licensed by Sentai Filmworks in North America, Hanabee in Australia and Animatsu Entertainment in the United Kingdom. It was also simulcast on Crunchyroll.","Slice of Life, Supernatural, Fantasy Kyoukai no Kanata covers the storyline of the first two volumes of the light novel adaptation. It has been licensed by Sentai Filmworks in North America, Hanabee in Australia and Animatsu Entertainment in the United Kingdom. It was also simulcast on Crunchyroll."
Non Non Biyori,"Comedy, School, Seinen, Slice of Life","Episode 1 was previewed at a screening in Tokyo on September 1, 2013. Regular broadcasting began on October 8, 2013.","Comedy, School, Seinen, Slice of Life Episode 1 was previewed at a screening in Tokyo on September 1, 2013. Regular broadcasting began on October 8, 2013."
Regalia: The Three Sacred Stars,"Action, Sci-Fi, Mecha",The TV broadcast of Regalia: The Three Sacred Stars was halted temporarily after episode 4 was aired. The explanation for this happening was that there were issues with the quality of the series. Broadcast later resumed in September 2016 starting from episode 1.,"Action, Sci-Fi, Mecha The TV broadcast of Regalia: The Three Sacred Stars was halted temporarily after episode 4 was aired. The explanation for this happening was that there were issues with the quality of the series. Broadcast later resumed in September 2016 starting from episode 1."
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,"Slice of Life, Comedy, School, Shounen","Episode 1 was previewed at a screening in Akihabara Gamers, Tokyo on June 29, 2013. Regular broadcasting began on July 9, 2013.WataMote was licensed by Sentai Filmworks in North America and MVM Films in the United Kingdom. It was simulcast by Crunchyroll during its original run.","Slice of Life, Comedy, School, Shounen Episode 1 was previewed at a screening in Akihabara Gamers, Tokyo on June 29, 2013. Regular broadcasting began on July 9, 2013.WataMote was licensed by Sentai Filmworks in North America and MVM Films in the United Kingdom. It was simulcast by Crunchyroll during its original run."
Mobile Suit Gundam SEED Destiny,"Action, Space, Mecha, Romance, Military, Drama, Sci-Fi",The series won the Animage Anime Grand Prix award during 2004 and 2005.,"Action, Space, Mecha, Romance, Military, Drama, Sci-Fi The series won the Animage Anime Grand Prix award during 2004 and 2005."
Onsen Yousei Hakone-chan,"Comedy, Seinen, Slice of Life","The manga was serialized on Aplix&#039;s Comic Meteor web platform between 2012 and 2014. Two volumes have been published by Holp Shuppan in November 2013 and April 2014. To commemorate the announcement of the adaptation, Comic Meteor is republishing the first three chapters on its website.","Comedy, Seinen, Slice of Life The manga was serialized on Aplix&#039;s Comic Meteor web platform between 2012 and 2014. Two volumes have been published by Holp Shuppan in November 2013 and April 2014. To commemorate the announcement of the adaptation, Comic Meteor is republishing the first three chapters on its website."
Heavy Object,"Action, Mecha, Military, Sci-Fi",Several characters from Heavy Object are slated to appear in the sequel to the arcade fighting game Dengeki Bunko Fighting Climax.,"Action, Mecha, Military, Sci-Fi Several characters from Heavy Object are slated to appear in the sequel to the arcade fighting game Dengeki Bunko Fighting Climax."
Owari no Seraph: Kyuuketsuki Shahar,"Action, Military, Supernatural, Drama, Vampire, Shounen","It was initially screened at the Jump Special Anime Festa on November 3, 2015. The OVA was bundled with Vol. 11 of the manga, released on May 2, 2016.","Action, Military, Supernatural, Drama, Vampire, Shounen It was initially screened at the Jump Special Anime Festa on November 3, 2015. The OVA was bundled with Vol. 11 of the manga, released on May 2, 2016."
Osomatsu-kun,Comedy,"Osomatsu-kun was Mainichi Broadcasting's first entry into the anime broadcasting. (Until the broadcast of Magi: The Labyrinth of Magic in 2012, the network did not air an anime adaptation of a Shounen Sunday manga for 45 years.) The series later aired on Tokyo 12 Channel (later known as TV Tokyo) between the late 1960s and early 1970s.Osomatsu-kun was never broadcast again after the 1970s, and the original prints were thought to be lost until they were found in storage at the Senrioka studio of Mainichi Broadcasting in 1990. The series was finally released on DVD between 2001 and 2003.","Comedy Osomatsu-kun was Mainichi Broadcasting's first entry into the anime broadcasting. (Until the broadcast of Magi: The Labyrinth of Magic in 2012, the network did not air an anime adaptation of a Shounen Sunday manga for 45 years.) The series later aired on Tokyo 12 Channel (later known as TV Tokyo) between the late 1960s and early 1970s.Osomatsu-kun was never broadcast again after the 1970s, and the original prints were thought to be lost until they were found in storage at the Senrioka studio of Mainichi Broadcasting in 1990. The series was finally released on DVD between 2001 and 2003."
Kaguya-hime no Monogatari,"Fantasy, Historical","Kaguya-hime no Monogatari is based on the 10th century Japanese folk tale of the same title. It was nominated for Best Animated Feature at the 87th Academy Awards, the first such nomination for Takahata. The film received over 20 nominations worldwide from critics associations, film festivals, and academies, winning seven times.","Fantasy, Historical Kaguya-hime no Monogatari is based on the 10th century Japanese folk tale of the same title. It was nominated for Best Animated Feature at the 87th Academy Awards, the first such nomination for Takahata. The film received over 20 nominations worldwide from critics associations, film festivals, and academies, winning seven times."
Aqua Kids,"Adventure, Kids","Aqua Kids is a South Korean series but aired in Japan first. Since Japan had the first TV airing, the air date will reflect it rather than South Korean&#039;s airing (September 13, 2004 - December 14, 2004).","Adventure, Kids Aqua Kids is a South Korean series but aired in Japan first. Since Japan had the first TV airing, the air date will reflect it rather than South Korean&#039;s airing (September 13, 2004 - December 14, 2004)."
Witchblade,"Action, Sci-Fi, Super Power","Witchblade is based on the American comic book series of the same name. Although it is set in the same universe, the story and characters are entirely new.","Action, Sci-Fi, Super Power Witchblade is based on the American comic book series of the same name. Although it is set in the same universe, the story and characters are entirely new."
Mahou Shoujo Lyrical Nanoha ViVid,"Action, Adventure, Magic","Mahou Shoujo Lyrical Nanoha ViVid did not receive a DVD nor Blu-ray release in Japan until November 23, 2016, more than a year and a half after the show started.","Action, Adventure, Magic Mahou Shoujo Lyrical Nanoha ViVid did not receive a DVD nor Blu-ray release in Japan until November 23, 2016, more than a year and a half after the show started."
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,"Slice of Life, Comedy, Drama, Romance, School",Yahari Ore no Seishun Love Comedy wa Machigatteiru. adapts the first 6 novels of Wataru Watari&#039;s light novel series of the same title.,"Slice of Life, Comedy, Drama, Romance, School Yahari Ore no Seishun Love Comedy wa Machigatteiru. adapts the first 6 novels of Wataru Watari&#039;s light novel series of the same title."
Netoge no Yome wa Onnanoko ja Nai to Omotta?,"Game, Comedy, Romance, Ecchi, School",Netoge no Yome wa Onnanoko ja Nai to Omotta? adapts the first 4 novels of Shibai Kineko&#039;s light novel series of the same title.,"Game, Comedy, Romance, Ecchi, School Netoge no Yome wa Onnanoko ja Nai to Omotta? adapts the first 4 novels of Shibai Kineko&#039;s light novel series of the same title."
Yojouhan Shinwa Taikei,"Mystery, Comedy, Psychological, Romance","Based on the novel by Tomihiko Morimi, published in December 2004.Yojouhan Shinwa Taikei won the grand prize for the animation category in the Japan Media Arts Festival on December 8, 2010. ","Mystery, Comedy, Psychological, Romance Based on the novel by Tomihiko Morimi, published in December 2004.Yojouhan Shinwa Taikei won the grand prize for the animation category in the Japan Media Arts Festival on December 8, 2010. "
Kore wa Zombie Desu ka? of the Dead,"Action, Harem, Comedy, Supernatural, Magic, Ecchi","The first 2 episodes received an early screening at a special event held at Kadokawa Cinema Shinjuku on January 13, 2012. The regular broadcast started on April 5, 2012.","Action, Harem, Comedy, Supernatural, Magic, Ecchi The first 2 episodes received an early screening at a special event held at Kadokawa Cinema Shinjuku on January 13, 2012. The regular broadcast started on April 5, 2012."
Macross F Movie 2: Sayonara no Tsubasa,"Action, Mecha, Military, Music, Romance, Sci-Fi, Space",The series won the 2011 Newtype Anime Awards for Best Anime Film.,"Action, Mecha, Military, Music, Romance, Sci-Fi, Space The series won the 2011 Newtype Anime Awards for Best Anime Film."
Meng Qi Shi Shen,"Adventure, Comedy, Historical, Drama, Romance, Shoujo","Meng Qi Shi Shen is an adaptation of the Chinese web novel of the same title, written by Zi Yi 281 (紫伊281).","Adventure, Comedy, Historical, Drama, Romance, Shoujo Meng Qi Shi Shen is an adaptation of the Chinese web novel of the same title, written by Zi Yi 281 (紫伊281)."
Ling Qi,"Action, Comedy, Supernatural, Magic, Shounen Ai","A Japanese dub of the series was produced by Haoliner&#039;s Japanese branch Emon. The series aired on television under the title Spiritpact starting on January 7, 2017 at 21:00 JST. Each TV episode was comprised of two ONA episodes with minor aesthetic touch-ups.","Action, Comedy, Supernatural, Magic, Shounen Ai A Japanese dub of the series was produced by Haoliner&#039;s Japanese branch Emon. The series aired on television under the title Spiritpact starting on January 7, 2017 at 21:00 JST. Each TV episode was comprised of two ONA episodes with minor aesthetic touch-ups."
Densetsu Kyojin Ideon,"Sci-Fi, Space, Drama, Mecha",The series won the Animage Anime Grand Prix Award in 1980.,"Sci-Fi, Space, Drama, Mecha The series won the Animage Anime Grand Prix Award in 1980."
Rokujouma no Shinryakusha!? (TV),"Harem, Comedy, Supernatural, School",Rokujouma no Shinryakusha!? adapts the first 7 novels of Takehaya&#039;s light novel series of the same title.,"Harem, Comedy, Supernatural, School Rokujouma no Shinryakusha!? adapts the first 7 novels of Takehaya&#039;s light novel series of the same title."
Guilty Crown: Lost Christmas,"Action, Drama, Sci-Fi, Super Power",An animated short was bundled as a DVD with the limited edition release of the PC game Guilty Crown: Lost Christmas.,"Action, Drama, Sci-Fi, Super Power An animated short was bundled as a DVD with the limited edition release of the PC game Guilty Crown: Lost Christmas."
Deltora Quest,"Adventure, Kids, Fantasy","Deltora Quest is based on Australian author Emily Rodda&#039;s book series of the same title. The anime series adapts the first 8 books, which comprises the first series of the saga.","Adventure, Kids, Fantasy Deltora Quest is based on Australian author Emily Rodda&#039;s book series of the same title. The anime series adapts the first 8 books, which comprises the first series of the saga."
Hitsugi no Chaika,"Action, Adventure, Comedy, Romance, Fantasy","Hitsugi no Chaika adapts the first 6 novels of Ichirou Sakaki&#039;s light novel series of the same name, while utilizing original content for the 8th and 9th episode.","Action, Adventure, Comedy, Romance, Fantasy Hitsugi no Chaika adapts the first 6 novels of Ichirou Sakaki&#039;s light novel series of the same name, while utilizing original content for the 8th and 9th episode."
Mobile Suit Gundam 0080: War in the Pocket,"Military, Sci-Fi, Space, Drama, Mecha","Mobile Suit Gundam 0080: War in the Pocket was a project made to commemorate the 10th anniversary of the franchise. It marked the first time someone other than Yoshiyuki Tomino had directed a Gundam project, with Fumihiko Takayama acting as lead director.","Military, Sci-Fi, Space, Drama, Mecha Mobile Suit Gundam 0080: War in the Pocket was a project made to commemorate the 10th anniversary of the franchise. It marked the first time someone other than Yoshiyuki Tomino had directed a Gundam project, with Fumihiko Takayama acting as lead director."
Kamisama no Memochou,Mystery,Episode 1 ran for 48 minutes.  Every other episode ran for 24 minutes.,Mystery Episode 1 ran for 48 minutes.  Every other episode ran for 24 minutes.
Glass no Kamen Desu ga to Z Specials,"Comedy, Parody","A DVD/BD set of both seasons has the 1st unaired episode ""ADZZ"". A DVD/BD set of the film has the 2nd unaired episode ""Zombie"". A deluxe DVD/BD set of both anime seasons plus the film have both of the unaired episodes. All 3 combinations were put on sale on the same day.","Comedy, Parody A DVD/BD set of both seasons has the 1st unaired episode ""ADZZ"". A DVD/BD set of the film has the 2nd unaired episode ""Zombie"". A deluxe DVD/BD set of both anime seasons plus the film have both of the unaired episodes. All 3 combinations were put on sale on the same day."
Huyao Xiao Hongniang: Wangquan Fugui,"Comedy, Historical, Supernatural, Romance","A Japanese dub of the series aired on television under the title Enmusubi no Youko-chan starting on August 12, 2017. Each TV episode was comprised of two ONA episodes with minor aesthetic touch-ups, this season&#039;s story arc was covered in episode 7-13 of the Japanese release with the last leg of the 13th episode leaking into the next arc.","Comedy, Historical, Supernatural, Romance A Japanese dub of the series aired on television under the title Enmusubi no Youko-chan starting on August 12, 2017. Each TV episode was comprised of two ONA episodes with minor aesthetic touch-ups, this season&#039;s story arc was covered in episode 7-13 of the Japanese release with the last leg of the 13th episode leaking into the next arc."
Santa Company,Fantasy,Santa Company was funded through a successful Kickstarter campaign in 2014. ,Fantasy Santa Company was funded through a successful Kickstarter campaign in 2014. 
Digimon Savers 3D: Digital World Kiki Ippatsu!,"Action, Adventure, Fantasy, Kids, Supernatural","Digimon Savers 3D: Digital World Kiki Ippatsu! was screened at Sanrio Puroland&#039;s Yume no Time Machine attraction between July 8, 2006, and July 2, 2008. It was later screened at Tobidasu! 3D Toei Anime Matsuri on October 3, 2009.","Action, Adventure, Fantasy, Kids, Supernatural Digimon Savers 3D: Digital World Kiki Ippatsu! was screened at Sanrio Puroland&#039;s Yume no Time Machine attraction between July 8, 2006, and July 2, 2008. It was later screened at Tobidasu! 3D Toei Anime Matsuri on October 3, 2009."
Dirty Pair,"Adventure, Comedy, Police, Sci-Fi",The series won the 1985 Animage&#039;s Anime Grand Prix Award.,"Adventure, Comedy, Police, Sci-Fi The series won the 1985 Animage&#039;s Anime Grand Prix Award."
Mononoke Hime,"Action, Adventure, Fantasy","In 1997 the film won Best Japanese Movie, Best Animation and Japanese Movie Fans&#039; Choice awards during the 52nd Mainichi Film Awards. In 1998 the film won the Best Picture award during the 21st Japan Academy Awards.","Action, Adventure, Fantasy In 1997 the film won Best Japanese Movie, Best Animation and Japanese Movie Fans&#039; Choice awards during the 52nd Mainichi Film Awards. In 1998 the film won the Best Picture award during the 21st Japan Academy Awards."
Rakuen Tsuihou,"Action, Sci-Fi, Mecha","Rakuen Tsuihou was a joint project between Toei Animation and Nitroplus, which won the Best Animation of the Year Award at the 24th Japan Movie Critics Awards. It was first shown at ConFusion in Sweden in December 2014. The movie was imported to the United States two days later by Aniplex USA and shown in fifteen theaters nationwide.","Action, Sci-Fi, Mecha Rakuen Tsuihou was a joint project between Toei Animation and Nitroplus, which won the Best Animation of the Year Award at the 24th Japan Movie Critics Awards. It was first shown at ConFusion in Sweden in December 2014. The movie was imported to the United States two days later by Aniplex USA and shown in fifteen theaters nationwide."
Gantz,"Action, Sci-Fi, Horror, Psychological, Supernatural, Drama, Ecchi","There is also a live action film adaptation that was released in 2011, and a video game by Konami released on PlayStation 2 in 2005.","Action, Sci-Fi, Horror, Psychological, Supernatural, Drama, Ecchi There is also a live action film adaptation that was released in 2011, and a video game by Konami released on PlayStation 2 in 2005."
Comet Lucifer,"Action, Adventure, Fantasy, Mecha","Episodes 1 and 2 were previewed at a screening at TOHO Cinemas Shinjuku on October 3, 2015. Regular broadcasting began on October 4, 2015.","Action, Adventure, Fantasy, Mecha Episodes 1 and 2 were previewed at a screening at TOHO Cinemas Shinjuku on October 3, 2015. Regular broadcasting began on October 4, 2015."
Gambo,"Demons, Historical","Winner of the Platinum Grand Prize during the 2014 Future Film Festival, held in Italy.","Demons, Historical Winner of the Platinum Grand Prize during the 2014 Future Film Festival, held in Italy."
Huyao Xiao Hongniang,"Comedy, Historical, Romance, Supernatural","A Japanese dub of the series aired on television under the title Enmusubi no Youko-chan starting on July 1, 2017. Each TV episode was comprised of two ONA episodes with minor aesthetic touch-ups, formally concluding this season in its episode 6.","Comedy, Historical, Romance, Supernatural A Japanese dub of the series aired on television under the title Enmusubi no Youko-chan starting on July 1, 2017. Each TV episode was comprised of two ONA episodes with minor aesthetic touch-ups, formally concluding this season in its episode 6."
Planetes,"Drama, Romance, Sci-Fi, Seinen, Space",Planetes is the winner of the 2005 Seiun Award for Best Dramatic Presentation in science fiction.,"Drama, Romance, Sci-Fi, Seinen, Space Planetes is the winner of the 2005 Seiun Award for Best Dramatic Presentation in science fiction."
Mimi wo Sumaseba,"Slice of Life, Drama, Romance, Shoujo","Mimi wo Sumaseba is the highest-grossing Japanese film of 1995. It is also the first Studio Ghibli film that was directed by someone other than Hayao Miyazaki or Isao Takahata, and the first Japanese film that used the Dolby Digital sound format.","Slice of Life, Drama, Romance, Shoujo Mimi wo Sumaseba is the highest-grossing Japanese film of 1995. It is also the first Studio Ghibli film that was directed by someone other than Hayao Miyazaki or Isao Takahata, and the first Japanese film that used the Dolby Digital sound format."
Lily to Kaeru to (Otouto),"Adventure, Comedy, Supernatural",Winner of the 2005 Animax Taishoo Awards.,"Adventure, Comedy, Supernatural Winner of the 2005 Animax Taishoo Awards."
Lupin III (2015),"Action, Adventure, Mystery, Comedy, Seinen","Lupin III (2015) first aired in Italy in August of 2015, more than a month before airing in Japan.","Action, Adventure, Mystery, Comedy, Seinen Lupin III (2015) first aired in Italy in August of 2015, more than a month before airing in Japan."
Mini Van 2nd Season,"Game, Slice of Life, Comedy, Parody",Episodes of the second Mini Van series were broadcast within the program Saturday Vanguard 1030 on TV Tokyo.,"Game, Slice of Life, Comedy, Parody Episodes of the second Mini Van series were broadcast within the program Saturday Vanguard 1030 on TV Tokyo."
Viewtiful Joe,"Action, Sci-Fi, Comedy, Shounen",Viewtiful Joe is an adaptation of a video game of the same title created by CAPCOM.,"Action, Sci-Fi, Comedy, Shounen Viewtiful Joe is an adaptation of a video game of the same title created by CAPCOM."
Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance","Howl No Ugoku Shiro premiered at the Venice Film Festival in 2004 and was later released to Japanese theaters in November, making it one of only three Studio Ghibli films not to be released in July. In 2004 the film won the Osella Awards for Technical Achievement in the 61st Venice Film Festival, the Best Japanese Movie Overall in the Mainichi Film Awards and an Excellence Prize, Animation in the Japan Media Arts Festival.  In 2005 the film won the Animation of the Year in the Tokyo International Anime Fair and the Audience Award in the Maui Film Festival. In 2006 it was nominated for the Best Animated Feature in the 78th Academy Award, but lost to the movie Wallace and Gromit: The Curse of the Were-Rabbit.","Adventure, Drama, Fantasy, Romance Howl No Ugoku Shiro premiered at the Venice Film Festival in 2004 and was later released to Japanese theaters in November, making it one of only three Studio Ghibli films not to be released in July. In 2004 the film won the Osella Awards for Technical Achievement in the 61st Venice Film Festival, the Best Japanese Movie Overall in the Mainichi Film Awards and an Excellence Prize, Animation in the Japan Media Arts Festival.  In 2005 the film won the Animation of the Year in the Tokyo International Anime Fair and the Audience Award in the Maui Film Festival. In 2006 it was nominated for the Best Animated Feature in the 78th Academy Award, but lost to the movie Wallace and Gromit: The Curse of the Were-Rabbit."
Chaos Dragon: Sekiryuu Seneki,"Action, Fantasy, Supernatural","Chaos Dragon is based on the role-playing fiction project Red Dragon, a story which was created by five notable character designers: Gen Urobochi (Fate/Zero), Kinoko Nasu (Kara no Kyoukai), Iduki Kougyoku (Mimizuku to Yoru no Ou), Ryohgo Narita (Durarara!!), and Simadoriru (member of the Stripe Pattern doujin circle). The results of their tabletop role-playing game sessions over six days created material for a seven-volume light novel series.","Action, Fantasy, Supernatural Chaos Dragon is based on the role-playing fiction project Red Dragon, a story which was created by five notable character designers: Gen Urobochi (Fate/Zero), Kinoko Nasu (Kara no Kyoukai), Iduki Kougyoku (Mimizuku to Yoru no Ou), Ryohgo Narita (Durarara!!), and Simadoriru (member of the Stripe Pattern doujin circle). The results of their tabletop role-playing game sessions over six days created material for a seven-volume light novel series."
Two on the Road: Itsumo Futari de,"Music, Romance",Seizo Watase ended up creating a manga adaptation of this original anime half a decade after its release.,"Music, Romance Seizo Watase ended up creating a manga adaptation of this original anime half a decade after its release."
